[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Platform_2x2.003
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -13.823800 Y 0.245400 Z -12.884700
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Pipe_2.003
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -14.081500 Y 0.146500 Z -10.445800
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Pipe_2.004
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -13.819400 Y 0.038800 Z -10.440200
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: Pipe_2.005
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -13.585800 Y -0.064300 Z -10.466000
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: AC_Stacked.002
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Location: X -14.637300 Y -1.724500 Z -12.315100
[Sat Oct 28 20:16:20 2023] ThreadID[28744]	[INFO]	Model Detected: AC_Stacked.003
